name,pos,ht,pts,reb,ast,stl,blk,to,img
Giannis Antetokounmpo,PF,6’11,20,8.9,4.3,1.2,1.3,2.8,src/images/giannis.png
Kobe Bryant,SG,6’6,25,5.2,4.7,1.4,0.5,3,src/images/kobe.png
Stephen Curry,PG,6’3,23.5,4.5,6.6,1.7,0.2,3.1,src/images/steph.png
Anthony Davis,PF,6’10,24,10.4,2.2,1.4,2.4,1.9,src/images/davis.png
Tim Duncan,PF,6’11,19,10.8,3,0.7,2.2,2.4,src/images/tim.png
Kevin Durant,SF,6’10,27,7.1,4.1,1.1,1.1,3.1,src/images/kd.png
James Harden,SG,6’5,25.1,5.3,6.3,1.6,0.5,3.7,src/images/harden.png
LeBron James,SF,6’9,27.1,7.4,7.4,1.6,0.8,3.5,src/images/lebron.png
Michael Jordan,SG,6’6,30.1,6.2,5.3,2.3,0.8,2.7,src/images/jordan.png
Kawhi Leonard,SF,6’7,18.6,6.4,2.7,1.8,0.7,1.6,src/images/kawhi.png
Chris Paul,PG,6’1,18.5,4.5,9.5,2.2,0.1,2.4,src/images/cp3.png
Russell Westbrook,PG,6’3,23.2,7.1,8.3,1.8,0.3,4.1,src/images/westbrook.png
