season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,17.5,4.5,5.9,1.9,0.2,3,6.6,14.3,0.462,2.1,4.8,0.437,2.2,2.5,0.885
2,18.6,3.9,5.8,1.5,0.3,3.1,6.8,14.2,0.48,2,4.6,0.442,2.9,3.1,0.934
3,14.7,3.4,5.3,1.5,0.3,2.5,5.6,11.4,0.49,2.1,4.7,0.455,1.5,1.8,0.809
4,22.9,4,6.9,1.6,0.2,3.1,8,17.8,0.451,3.5,7.7,0.453,3.4,3.7,0.9
5,24,4.3,8.5,1.6,0.2,3.8,8.4,17.7,0.471,3.3,7.9,0.424,3.9,4.5,0.885
6,23.8,4.3,7.7,2,0.2,3.1,8.2,16.8,0.487,3.6,8.1,0.443,3.9,4.2,0.914
7,30.1,5.4,6.7,2.1,0.2,3.3,10.2,20.2,0.504,5.1,11.2,0.454,4.6,5.1,0.908
8,25.3,4.5,6.6,1.8,0.2,3,8.5,18.3,0.468,4.1,10,0.411,4.1,4.6,0.898
9,26.4,5.1,6.1,1.6,0.2,3,8.4,16.9,0.495,4.2,9.8,0.423,5.5,5.9,0.921
10,27.3,5.3,5.2,1.3,0.4,2.8,9.2,19.4,0.472,5.1,11.7,0.437,3.8,4.2,0.916
11,20.8,5.2,6.6,1,0.4,3.2,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1
